Success,Path Length (in meters),Average Clearance (in meters),Computation_time,Smoothness Factor
True,4.33874543443286,0.3254,200,9.07100475386486
True,8.97688359103774,0.478857142857143,315,4.43745483858871
False,11.7188670800557,0.371291989664083,387,16.7445866733535
True,10.4753521820047,0.472786377708978,323,39.5283250201114
True,12.5551426580298,0.503468013468013,297,6.02101696740347
False,None,None,None,None
True,1.80489100420598,0.54,47,0.30449054863985
False,7.76929647445905,0.382711267605634,284,28.6446605826288
False,13.3349106050688,0.300169204737733,591,24.1116634464307
True,8.2408005818489,0.510355731225296,253,15.8189640957925
**********,**********,**********,**********,**********
Successful Trials,6,,,
Total Trials,9,,,
Percentage Success,66.6666666666667,,,
Mean Path Length (meters),7.73196924192666,Standard Deviation in Path Length,3.98100733660789,
Mean Clearance (meters),0.471811210876572,Standard Deviation in Clearance,0.075662914217622,
Mean Computation Time,239.166666666667,Standard Deviation in Computation Time,104.667887466341,
**********,**********,**********,**********,**********
